accountId,businessDate,openingBalance,netMovement,closingBalance,currency,snapshotId
SIM-A0011,2026-09-01,1000000.00,0.00,1000000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0011,2026-09-02,1000000.00,0.00,1000000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0011,2026-09-03,1000000.00,0.00,1000000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0011,2026-09-04,1000000.00,0.00,1000000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0011,2026-09-05,1000000.00,0.00,1000000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0011,2026-09-06,1000000.00,100000.00,1100000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0011,2026-09-07,1100000.00,0.00,1100000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0011,2026-09-08,1100000.00,0.00,1100000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0011,2026-09-09,1100000.00,0.00,1100000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0011,2026-09-10,1100000.00,0.00,1100000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0011,2026-09-11,1100000.00,0.00,1100000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0011,2026-09-12,1100000.00,0.00,1100000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0011,2026-09-13,1100000.00,0.00,1100000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0011,2026-09-14,1100000.00,0.00,1100000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0011,2026-09-15,1100000.00,0.00,1100000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0011,2026-09-16,1100000.00,-200000.00,900000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0011,2026-09-17,900000.00,0.00,900000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0011,2026-09-18,900000.00,0.00,900000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0011,2026-09-19,900000.00,0.00,900000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0011,2026-09-20,900000.00,0.00,900000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0011,2026-09-21,900000.00,0.00,900000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0011,2026-09-22,900000.00,0.00,900000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0011,2026-09-23,900000.00,0.00,900000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0011,2026-09-24,900000.00,0.00,900000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0011,2026-09-25,900000.00,0.00,900000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0011,2026-09-26,900000.00,0.00,900000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0011,2026-09-27,900000.00,0.00,900000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0011,2026-09-28,900000.00,0.00,900000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0011,2026-09-29,900000.00,0.00,900000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0011,2026-09-30,900000.00,0.00,900000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0012,2026-09-01,2000000.00,0.00,2000000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0012,2026-09-02,2000000.00,0.00,2000000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0012,2026-09-03,2000000.00,0.00,2000000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0012,2026-09-04,2000000.00,0.00,2000000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0012,2026-09-05,2000000.00,0.00,2000000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0012,2026-09-06,2000000.00,0.00,2000000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0012,2026-09-07,2000000.00,0.00,2000000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0012,2026-09-08,2000000.00,0.00,2000000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0012,2026-09-09,2000000.00,0.00,2000000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0012,2026-09-10,2000000.00,0.00,2000000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0012,2026-09-11,2000000.00,0.00,2000000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0012,2026-09-12,2000000.00,0.00,2000000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0012,2026-09-13,2000000.00,0.00,2000000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0012,2026-09-14,2000000.00,0.00,2000000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0012,2026-09-15,2000000.00,0.00,2000000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0012,2026-09-16,2000000.00,0.00,2000000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0012,2026-09-17,2000000.00,0.00,2000000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0012,2026-09-18,2000000.00,0.00,2000000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0012,2026-09-19,2000000.00,0.00,2000000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0012,2026-09-20,2000000.00,0.00,2000000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0012,2026-09-21,2000000.00,0.00,2000000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0012,2026-09-22,2000000.00,0.00,2000000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0012,2026-09-23,2000000.00,0.00,2000000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0012,2026-09-24,2000000.00,0.00,2000000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0012,2026-09-25,2000000.00,0.00,2000000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0012,2026-09-26,2000000.00,0.00,2000000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0012,2026-09-27,2000000.00,0.00,2000000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0012,2026-09-28,2000000.00,0.00,2000000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0012,2026-09-29,2000000.00,0.00,2000000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0012,2026-09-30,2000000.00,0.00,2000000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0021,2026-09-01,800000.00,0.00,800000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0021,2026-09-02,800000.00,0.00,800000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0021,2026-09-03,800000.00,0.00,800000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0021,2026-09-04,800000.00,20000.00,820000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0021,2026-09-05,820000.00,0.00,820000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0021,2026-09-06,820000.00,0.00,820000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0021,2026-09-07,820000.00,0.00,820000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0021,2026-09-08,820000.00,-5000.00,815000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0021,2026-09-09,815000.00,0.00,815000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0021,2026-09-10,815000.00,0.00,815000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0021,2026-09-11,815000.00,0.00,815000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0021,2026-09-12,815000.00,0.00,815000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0021,2026-09-13,815000.00,0.00,815000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0021,2026-09-14,815000.00,40000.00,855000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0021,2026-09-15,855000.00,0.00,855000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0021,2026-09-16,855000.00,0.00,855000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0021,2026-09-17,855000.00,0.00,855000.00,CNY,SIM-SNAPSHOT-20261001
SIM-A0021,2026-09-18,855000.00,0.00,855000.00,CNY,SIM-SNAPSHOT-20261001
